City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Mago,RU,2021-04-10 00:47:27,53.2514,140.1822,275.18,66,19,1.27
242,Cabo San Lucas,MX,2021-04-10 00:47:28,22.8909,-109.9124,302.15,45,20,2.57
243,Manta,EC,2021-04-10 00:47:29,-0.95,-80.7333,301.15,78,40,3.09
244,Samarai,PG,2021-04-10 00:47:31,-10.6167,150.6667,299.72,83,100,6.25
245,Abapo,BO,2021-04-10 00:47:32,-18.8333,-63.4667,293.49,83,16,0.83
246,Severo-Kurilsk,RU,2021-04-10 00:47:34,50.6789,156.125,273.4,91,97,3.07
247,Vostok,RU,2021-04-10 00:47:35,46.4856,135.8833,277.45,49,27,2.58
248,Yichang,CN,2021-04-10 00:47:36,30.7144,111.2847,286.48,79,100,0.56
249,Bengkulu,ID,2021-04-10 00:47:38,-3.8004,102.2655,299.07,83,33,2.0
250,Laguna,US,2021-04-10 00:44:35,38.421,-121.4238,297.15,33,1,5.14
251,Tuatapere,NZ,2021-04-10 00:47:41,-46.1333,167.6833,285.93,86,100,0.89
252,Vila Velha,BR,2021-04-10 00:47:42,-20.3297,-40.2925,297.59,64,75,5.14
253,Floro,NO,2021-04-10 00:47:44,61.5996,5.0328,276.15,70,90,7.2
254,Pittsburg,US,2021-04-10 00:47:45,38.028,-121.8847,293.15,45,1,9.26
255,Bathsheba,BB,2021-04-10 00:47:47,13.2167,-59.5167,299.15,65,20,4.12
256,Vuktyl,RU,2021-04-10 00:47:48,63.8567,57.3094,272.38,93,16,3.36
257,Ardakan,IR,2021-04-10 00:47:50,32.31,54.0175,291.15,27,40,1.03
258,San Policarpo,PH,2021-04-10 00:47:51,12.1791,125.5072,301.38,65,90,4.61
259,Ancud,CL,2021-04-10 00:47:53,-41.8697,-73.8203,282.59,87,0,2.57
260,Salinopolis,BR,2021-04-10 00:47:54,-0.6136,-47.3561,299.06,86,90,4.35
261,Chingola,ZM,2021-04-10 00:47:56,-12.529,27.8838,286.21,90,91,1.84
262,Sessa Aurunca,IT,2021-04-10 00:47:57,41.2408,13.9328,280.37,100,0,1.61
263,Sembe,CG,2021-04-10 00:47:58,1.6481,14.5806,294.18,93,98,0.18
264,Ritchie,ZA,2021-04-10 00:48:00,-29.038,24.6028,287.15,77,3,2.06
265,Taikang,CN,2021-04-10 00:48:01,46.8333,124.4167,286.06,21,14,10.84
266,Gushikawa,JP,2021-04-10 00:44:16,26.3544,127.8686,296.15,60,1,7.72
267,Pacocha,PE,2021-04-10 00:48:04,-17.5833,-71.3333,292.68,80,100,0.46
268,San Luis,AR,2021-04-10 00:48:05,-33.295,-66.3356,287.56,89,100,5.26
269,Lubyany,RU,2021-04-10 00:48:07,56.0378,51.4,273.15,100,90,5.0
270,Jinxiang,CN,2021-04-10 00:48:08,27.4327,120.6062,287.32,57,42,5.27
271,Afsin,TR,2021-04-10 00:48:10,38.2477,36.914,278.7,67,96,2.6
272,Seguela,CI,2021-04-10 00:48:11,7.9611,-6.6731,299.03,71,91,3.55
273,Otofuke,JP,2021-04-10 00:48:12,42.9917,143.2003,280.15,36,40,4.63
274,Faanui,PF,2021-04-10 00:48:14,-16.4833,-151.75,301.09,69,91,3.0
275,Menongue,AO,2021-04-10 00:48:15,-14.6585,17.691,288.43,70,32,1.85
276,Mlonggo,ID,2021-04-10 00:48:17,-6.5333,110.7,301.15,78,20,1.03
277,Mahibadhoo,MV,2021-04-10 00:48:18,3.7833,72.9667,300.8,75,10,2.9
278,Xanxere,BR,2021-04-10 00:48:19,-26.8769,-52.4042,292.89,67,29,1.55
279,Flinders,AU,2021-04-10 00:48:22,-34.5833,150.8552,293.71,52,29,3.13
280,Lyndon,US,2021-04-10 00:48:23,38.2567,-85.6016,299.15,27,1,5.14
281,Namatanai,PG,2021-04-10 00:48:24,-3.6667,152.4333,302.47,68,80,4.53
282,Prainha,BR,2021-04-10 00:48:26,-1.8,-53.48,296.36,92,38,1.43
283,Nogliki,RU,2021-04-10 00:48:28,51.8333,143.1667,271.89,80,64,2.58
284,Nanortalik,GL,2021-04-10 00:48:29,60.1432,-45.2371,275.49,96,100,3.35
